"name","ra","dec","trigger_time","t90","t90_error","t90_start","trigger_name"
"GRB170923566","228.3","-10.78","58019.566366334","  27.648","10.546","  -3.328","bn170923566"
"GRB170926528","146.53","-5.57","58022.527560476","  15.360"," 0.362","  -0.256","bn170926528"
"GRB170926782","344.12","-26.25","58022.782004217","   0.896"," 0.181","  -0.128","bn170926782"
"GRB170928607","304.09","35.74","58024.607491491","   9.216"," 1.864","  -0.256","bn170928607"
"GRB170929513","192.88","32.3","58025.513185942","   9.472"," 0.923","  -3.072","bn170929513"
"GRB170929699","28.01","21.02","58025.698799051","   8.960"," 0.724","  -1.280","bn170929699"
"GRB171002969","176.24","18.05","58028.968902234","   7.936"," 1.864","  -0.512","bn171002969"
"GRB171004672","82.2","-25.74","58030.671717831","  48.125"," 0.921","   0.003","bn171004672"
"GRB171004857","26.56","-62.11","58030.856659518","   8.192"," 0.923","  -2.560","bn171004857"
"GRB171007498","135.544","42.849","58033.49837852","   3.456"," 0.345","  -1.408","bn171007498"
"GRB171008080","232.59","24.02","58034.079616833","   1.472"," 1.537","  -1.024","bn171008080"
"GRB171009138","348.14","42.31","58035.137738862","  47.104"," 7.464","  -1.280","bn171009138"
"GRB171010792","66.5809","-10.4633","58036.792252041"," 107.266"," 0.810","  16.640","bn171010792"
"GRB171010875","34.123","-54.41","58036.874611988","  25.344"," 3.806","  -2.560","bn171010875"
"GRB171011162","147.87","-9.8","58037.161629473"," 101.888"," 4.375"," -39.168","bn171011162"
"GRB171011810","177.04","26.93","58037.810045671","   0.480"," 0.935","  -0.448","bn171011810"
"GRB171013350","171.28","-26.64","58039.350487365","  39.425"," 1.716","   0.256","bn171013350"
"GRB171017823","185.34","38.9","58043.822722595","  86.272"," 2.202","  -4.352","bn171017823"
"GRB171020813","234.6","-70.16","58046.812877379","  19.200"," 1.950","  -1.536","bn171020813"
"GRB171022085","254.46","-21.04","58048.085458951","  37.633"," 6.720","  -8.704","bn171022085"
"GRB171022885","217.06","11.91","58048.884962613","  13.278"," 0.558","   0.003","bn171022885"
"GRB171023097","325.36","-30.4","58049.097063883","  64.257","23.83","  -3.888","bn171023097"
"GRB171024977","210.53","-68.91","58050.977310514","  35.072"," 5.838","  -3.584","bn171024977"
"GRB171025213","232.66","42.35","58051.213126691","   6.400"," 3.482","  -2.304","bn171025213"
"GRB171025416","98","-1.77","58051.415973469","  19.712"," 2.064","  -5.888","bn171025416"
