TrigNum,Date,Time UT,"MesgType GBM LAT","RA (J2000) [deg]","Dec (J2000) [deg]","Error [deg] [arcmin]",Comments
572513380,19/02/22,07:29:35.53,GBM Flight Position,212.617,-19.183,21.43,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 12.18,17.02 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572459837,19/02/21,16:37:12.02,GBM Flight Position,141.067,+40.567,34.75,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 98.75,-0.45 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572459837,19/02/21,16:37:12.02,GBM Flight Position,223.717,+27.667,34.48,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 98.75,-0.45 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572458937,19/02/21,16:22:12.87,GBM Flight Position,327.050,+69.767,26.12,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 48.62,-21.43 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572386536,19/02/20,20:15:31.49,GBM Final Position,252.670,-50.860,16.86,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB. NOTE: This GBM event is temporally(64.0<100sec) coincident with the INTEGRAL_SPIACS event (trignum=8226).
572386536,19/02/20,20:15:31.49,GBM Ground Position,266.720,-23.820,12.13,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(64.0<100sec) coincident with the INTEGRAL_SPIACS event (trignum=8226). http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572386536.fits
572386536,19/02/20,20:15:31.49,GBM Ground Position,237.160,-24.000,13.13,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(12.0<100sec) coincident with the INTEGRAL event (trignum=8226). http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572386536.fits
572386536,19/02/20,20:15:31.49,GBM Flight Position,235.083,-16.750,27.33,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 102.40,20.35 [deg]. The LC_URL file will not be created until ~15 min after the trigger. NOTE: This GBM event is temporally(12.0<100sec) coincident with the INTEGRAL event (trignum=8226)."
572189456,19/02/18,13:30:51.27,GBM Flight Position,11.367,+9.833,33.87,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 25.92,-15.45 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572169278,19/02/18,07:54:33.34,GBM Final Position,294.120,+16.450,1.20,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
572169278,19/02/18,07:54:33.34,GBM Ground Position,294.060,+16.380,1.41,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572169278.fits
572169278,19/02/18,07:54:33.34,GBM Ground Position,294.040,+16.360,1.76,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572169278.fits
572169278,19/02/18,07:54:33.34,GBM Ground Position,294.820,+16.850,2.22,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572169278.fits
572169278,19/02/18,07:54:33.34,GBM Ground Position,293.650,+14.820,3.14,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572169278.fits
572169278,19/02/18,07:54:33.34,GBM Ground Position,294.460,+15.350,4.04,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572169278.fits
572169278,19/02/18,07:54:33.34,GBM Ground Position,295.130,+14.630,4.36,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572169278.fits
572169278,19/02/18,07:54:33.34,GBM Flight Position,290.083,+19.767,8.88,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 278.92,10.32 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572169278,19/02/18,07:54:33.34,GBM Flight Position,286.867,+23.700,12.00,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 278.92,10.32 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572070691,19/02/17,04:31:26.14,GBM Final Position,167.770,-18.740,8.96,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
