GRBName,Trig_no,healpix,locmap
bn171017823,529962288,2048,0
bn171017982,529976080,2048,2048
bn171018276,530001491,2048,2048
bn171019043,530067681,2048,2048
bn171019218,530082829,2048,2048
bn171019550,530111515,2048,2048
bn171020813,530220637,2048,0
bn171022085,530330588,2048,0
bn171022885,530399665,2048,0
bn171023097,530417991,2048,0
bn171024210,530514180,2048,2048
bn171024977,530580444,2048,0
bn171025203,530599970,2048,2048
bn171025213,530600819,2048,0
bn171025401,530617076,2048,2048
bn171025416,530618345,2048,0
bn171025913,530661298,2048,0
bn171026019,530670414,2048,2048
bn171027452,530794227,2048,2048
bn171028991,530927206,2048,2048
bn171029020,530929734,2048,0
bn171030532,531060347,2048,2048
bn171030729,531077390,2048,0
bn171030900,531092162,2048,0
bn171031410,531136196,2048,2048
bn171031542,531147620,2048,2048
bn171031650,531156977,2048,2048
bn171031809,531170743,2048,2048
bn171031950,531182925,2048,2048
bn171101343,531216833,2048,2048
bn171101448,531225917,2048,0
bn171101572,531236667,2048,0
bn171101600,531239007,2048,0
bn171101754,531252314,2048,2048
bn171101984,531272223,2048,2048
bn171102107,531282820,2048,0
bn171102174,531288647,2048,2048
bn171102207,531291500,2048,0
bn171102282,531297986,2048,0
bn171102404,531308525,2048,2048
bn171102426,531310405,2048,2048
bn171102552,531321288,2048,2048
bn171102658,531330478,2048,2048
bn171102666,531331170,2048,2048
bn171102674,531331856,2048,0
bn171102681,531332466,2048,2048
bn171102736,531337238,2048,2048
bn171102771,531340190,2048,0
bn171102784,531341330,2048,2048
bn171102793,531342119,2048,2048
bn171102821,531344529,2048,2048
bn171102897,531351102,2048,2048
bn171102912,531352429,2048,2048
bn171102923,531353355,1024,0
bn171102950,531355725,2048,2048
bn171102961,531356602,2048,2048
bn171103030,531362584,2048,2048
bn171103041,531363509,2048,2048
bn171103053,531364601,2048,2048
bn171103093,531368024,2048,0
bn171103174,531375070,2048,0
bn171103192,531376584,2048,2048
bn171103203,531377549,2048,0
bn171103306,531386404,2048,0
bn171103314,531387092,2048,0
bn171103321,531387782,2048,0
bn171103331,531388607,2048,0
bn171103340,531389394,2048,0
bn171103348,531390034,2048,2048
